ID	GrossMonthlyIncome	CreditCardPayment	CarPayment	StudentLoanPayments	AppraisedValue	DownPayment	LoanAmount	MonthlyMortgagePayment	CreditScore
1	3103	317	374	250	268468	32216.16	236251.84	1127.9	778
2	2939	368	395	228	335467	30192.03	305274.97	2240	546
3	4676	222	352	368	461177	36894.16	424282.84	2277.64	736
4	8469	224	416	400	326904	22883.28	304020.72	1451.44	761
5	2406	497	385	444	472661	23633.05	449027.95	2987.39	615
6	9128	219	424	220	403922	117137.38	286784.62	1719.42	661
7	8717	249	363	395	365483	73096.6	292386.4	1232.71	811
8	8194	315	353	303	269907	72874.89	197032.11	1310.86	648
9	8582	261	435	204	248121	12406.05	235714.95	1265.37	742
10	8832	351	470	203	408375	20418.75	387956.25	2846.69	554
11	2829	254	368	412	472566	80336.22	392229.78	1872.56	780
12	7997	476	415	304	476901	100149.21	376751.79	2258.82	658
13	8815	381	355	358	447858	62700.12	385157.88	2067.61	733
14	4353	407	438	424	401394	76264.86	325129.14	2385.68	525
15	8909	419	422	449	390002	81900.42	308101.58	2260.74	569
16	9580	399	399	385	285104	37063.52	248040.48	1331.53	706
17	4030	341	420	205	465246	55829.52	409416.48	3004.15	574
18	7012	366	475	406	413464	70288.88	343175.12	2518.1	570
19	3519	288	449	271	241549	67633.72	173915.28	1276.13	532
20	4450	471	468	230	484448	92045.12	392402.88	1873.39	771
21	2862	444	362	434	499329	79892.64	419436.36	2514.73	695
22	4168	322	439	369	442517	123904.76	318612.24	2337.86	574
23	5472	314	443	379	310350	27931.5	282418.5	2072.29	650
24	6748	311	426	296	342326	54772.16	287553.84	2109.97	533
25	3060	300	411	404	387148	19357.4	367790.6	1974.38	732
26	8350	490	434	377	432555	38929.95	393625.05	2888.28	592
27	2527	232	377	322	313293	56392.74	256900.26	1885.04	585
28	5236	337	367	240	283298	70824.5	212473.5	1413.59	639
29	7993	392	360	381	412215	20610.75	391604.25	2102.22	729
30	6461	295	381	395	239093	57382.32	181710.68	1089.45	666
31	6296	255	465	362	329293	69151.53	260141.47	1096.77	812
32	7057	348	439	422	297387	14869.35	282517.65	2073.01	501
33	6828	274	361	215	473699	123161.74	350537.26	1673.52	798
34	3138	486	374	441	374944	89986.56	284957.44	1895.83	615
35	9391	282	479	378	364140	43696.8	320443.2	1529.84	794
36	2280	251	440	275	322941	35523.51	287417.49	1723.21	687
37	2948	487	438	240	455446	45544.6	409901.4	2200.44	723
38	8158	339	368	309	243152	46198.88	196953.12	1057.29	707
39	6888	483	479	260	460899	87570.81	373328.19	2238.29	664
40	5898	420	383	229	237732	54678.36	183053.64	1217.86	636
41	6836	438	451	250	349490	97857.2	251632.8	1846.39	522
42	2004	338	447	297	286237	71559.25	214677.75	1575.23	586
43	9018	433	455	253	307261	15363.05	291897.95	1566.97	710
44	2096	279	386	380	465616	116404	349212	1667.19	795
45	9876	496	388	325	322165	38659.8	283505.2	1699.76	678
46	4922	334	433	351	269467	48504.06	220962.94	1621.35	556
47	4310	431	466	362	438470	65770.5	372699.5	2000.73	732
48	4701	420	434	210	341408	30726.72	310681.28	1483.24	766
49	7641	340	469	286	291836	26265.24	265570.76	1948.66	541
50	3460	410	465	428	271147	67786.75	203360.25	1091.68	745
51	2532	308	459	286	451273	67690.95	383582.05	2814.59	576
52	2746	219	408	242	430821	86164.2	344656.8	2066.39	659
53	8811	316	391	363	315497	44169.58	271327.42	1626.74	674
54	2824	361	403	424	396207	95089.68	301117.32	1805.35	693
55	6239	221	467	293	239831	64754.37	175076.63	1284.65	586
56	9076	405	379	316	462570	46257	416313	2769.74	625
57	7093	366	421	243	294303	61803.63	232499.37	1546.82	633
58	5780	468	459	407	440180	70428.8	369751.2	2713.1	546
59	7589	313	402	216	358911	46658.43	312252.57	2291.2	515
60	9852	230	376	303	429903	77382.54	352520.46	2345.33	634
61	2638	418	403	323	298247	17894.82	280352.18	1680.85	653
62	3138	293	460	232	284459	17067.54	267391.46	1127.33	842
63	7597	301	463	378	422126	42212.6	379913.4	1813.76	755
64	7296	365	478	324	367543	102912.04	264630.96	1760.6	639
65	9393	327	351	396	492711	137959.08	354751.92	2360.17	619
66	3192	305	472	403	258932	23303.88	235628.12	1264.9	716
67	7969	293	497	235	279250	80982.5	198267.5	1188.71	654
68	9814	288	446	342	367849	44141.88	323707.12	1545.43	775
69	4689	243	466	346	250049	32506.37	217542.63	1038.58	773
70	7562	475	416	277	324348	64869.6	259478.4	1903.96	539
71	8139	349	425	438	466044	69906.6	396137.4	1891.22	796
72	8185	404	482	313	296998	41579.72	255418.28	1371.14	737
73	2670	395	410	316	430636	120578.08	310057.92	2062.82	646
74	2477	324	398	358	431552	25893.12	405658.88	2976.58	584
75	8620	244	486	214	453685	36294.8	417390.2	3062.66	549
76	8181	412	360	213	305392	58024.48	247367.52	1483.09	698
77	3913	362	426	274	248170	37225.5	210944.5	1132.4	726
78	7127	278	431	234	491642	132743.34	358898.66	2151.78	698
79	2138	397	488	233	462541	87882.79	374658.21	2246.27	649
80	8136	258	457	396	407840	77489.6	330350.4	1773.39	709
81	7944	384	414	353	304287	69986.01	234300.99	1558.81	645
82	9845	247	464	335	356831	67797.89	289033.11	1922.94	637
83	7436	244	374	273	302894	72694.56	230199.44	1689.12	531
84	2588	300	451	204	272185	54437	217748	1597.76	565
85	8097	387	443	295	258761	38814.15	219946.85	1318.69	695
86	7764	489	451	292	453895	63545.3	390349.7	2095.48	704
87	5770	408	474	415	273532	13676.6	259855.4	1728.82	644
88	3343	264	374	248	433090	34647.2	398442.8	2650.85	619
89	8256	233	499	400	392365	102014.9	290350.1	2130.49	502
90	5571	452	431	245	486339	121584.75	364754.25	1958.08	736
91	6880	488	438	270	429352	38641.68	390710.32	2866.89	529
92	4963	355	354	256	470956	47095.6	423860.4	2023.57	778
93	9908	340	408	415	493646	128347.96	365298.04	1743.99	763
94	8921	481	475	443	299451	59890.2	239560.8	1757.81	503
95	7028	424	433	348	451762	76799.54	374962.46	2494.63	621
96	9467	481	352	370	299205	44880.75	254324.25	1365.27	718
97	3408	427	417	326	454991	104647.93	350343.07	2330.84	613
98	9160	228	455	252	299081	74770.25	224310.75	1204.15	707
99	5200	438	480	447	387588	34882.92	352705.08	2588.02	548
100	4704	467	422	431	453290	45329	407961	2993.47	589
101	3566	291	479	353	443941	53272.92	390668.08	2866.58	523
102	8837	424	433	310	395914	51468.82	344445.18	2527.42	585
103	2985	420	402	274	484150	101671.5	382478.5	2293.15	680
104	8870	268	409	346	348057	34805.7	313251.3	1878.1	652
105	7171	460	449	261	347111	34711.1	312399.9	1677.03	730
106	8901	410	440	381	366209	43945.08	322263.92	2364.66	565
107	4289	256	387	348	462369	134087.01	328281.99	1567.27	781
108	9265	493	471	222	399977	95994.48	303982.52	2230.52	569
109	9740	354	406	237	385752	42432.72	343319.28	1843.01	705
110	9018	324	406	276	237087	68755.23	168331.77	1119.92	607
111	5927	486	383	282	397229	35750.61	361478.39	1524.01	841
112	7132	413	433	420	275140	41271	233869	986	837
113	5986	337	456	410	485934	68030.76	417903.24	1995.13	781
114	2478	330	442	271	372498	44699.76	327798.24	1382.01	843
